EDV-Nr./Bezeichnung;Beschreibung;Preiseinheit;Preis
Titel;AC-MONTAGE WECHSELRICHTER Fronius;;
Untertitel;Montage und Lieferung Fronius Hybrid-Wechselrichter;;
Beschreibung_fett;Materialien:;;
;- Fronius Hybrid-Wechselrichter GEN24 Plus bzw. Verto Plus inkl. Smart Energy Meter;;
;- DC-Überspannungsschutz;;
;- Zuleitung Wechselrichter;;
;- Netzwerkleitung;;
;- Notwendiges Kleinmaterial und Leitungen;;
Beschreibung_fett;Leistungen:;;
;- Montage und Anschluss Wechselrichter;;
;- Leitungsverlegung String- und Erdungsleitung bis Wechselrichter (Aufputz) maximal 20 m Kabel im weißen Kunststoff oder weißen Blechkanal;;
;- Anschluss an die Zähleranlage;;
;- Inbetriebnahme;;
;- Restmaterial-/Verpackungsmüllentsorgung;;
Beschreibung_fett;Nicht enthaltene Leistung:;;
;- Anmeldung und Registrierung im Marktstammdatenregister;;
;;;
;Hybrid-Wechselrichter GEN24 Plus 3.0 (3,0 kW);€/Stk.;2727,8
;Hybrid-Wechselrichter GEN24 Plus 4.0 (4,0 kW);€/Stk.;2843,5
;Hybrid-Wechselrichter GEN24 Plus 5.0 (5,0 kW);€/Stk.;2941
;Hybrid-Wechselrichter GEN24 Plus 6.0 (6,0 kW);€/Stk.;3308,9
;Hybrid-Wechselrichter GEN24 Plus 8.0 (8,0 kW);€/Stk.;3681,2
;Hybrid-Wechselrichter GEN24 Plus 10.0 (10,0 kW);€/Stk.;3800,8
;Hybrid-Wechselrichter GEN24 Plus 12.0 (12,0 kW);€/Stk.;3939,9
;Hybrid-Wechselrichter GEN24 Plus 15.0 (15,0 kW);€/Stk.;4396,14
;Hybrid-Wechselrichter Verto Plus 20.0 (20,0 kW);€/Stk.;4866,66
;Hybrid-Wechselrichter Verto Plus 25.0 (25,0 kW);€/Stk.;5219,63
;Hybrid-Wechselrichter Verto Plus 30.0 (30,0 kW);€/Stk.;5494,06
